filename,swin_b,swin_s,swin_t,ViTB16,ViTB32,ViTH14,ViTL16,ViTL32,MaxVit,swin_v2_b,swin_v2_s,swin_v2_t
n01440764_2563.JPEG,8.978,8.82,6.035,2.574,10.466,0.438,11.276,6.993,8.419,3.936,5.907,5.527
n01440764_2574.JPEG,6.992,6.081,5.679,2.031,7.981,0.484,10.822,8.441,8.933,6.682,3.908,5.748
n01440764_2575.JPEG,3.938,3.407,1.585,0.876,6.023,0.247,8.293,2.448,3.836,3.637,2.772,3.434
n01440764_2577.JPEG,6.978,5.611,4.272,0.696,9.487,0.359,11.094,3.373,8.741,5.229,5.32,3.956
n01440764_26006.JPEG,5.848,4.329,1.972,0.089,0.23,1.157,10.343,6.205,7.606,0.927,1.123,3.191
n01440764_261.JPEG,5.231,3.961,2.489,0.697,9.545,0.878,5.79,4.994,6.238,5.002,4.547,4.584
n01440764_26234.JPEG,3.84,3.077,3.177,0.56,6.831,0.591,11.01,6.106,8.197,4.499,4.077,4.871
n01440764_26257.JPEG,6.404,3.575,4.299,2.618,9.24,0.302,7.574,3.748,5.551,4.372,4.216,4.225
n01440764_2627.JPEG,6.831,6.482,5.761,2,3.457,3.542,9.818,4.315,5.228,8.286,6.34,4.102
n01440764_2628.JPEG,8.308,8.11,6.169,0.539,9.241,0.547,11.332,3.929,6.059,7.264,7.368,6.57
n01440764_26320.JPEG,6.993,5.215,2.232,0.847,10.925,0.798,11.198,3.832,8.362,5.066,3.875,4.104
n01440764_2633.JPEG,4.766,8.616,5.147,0.266,8.953,1.762,10.097,5.464,2.599,6.696,7.451,8.249
n01440764_2636.JPEG,4.568,3.792,1.358,1.211,7.499,2.496,11.117,4.788,6.311,5.429,4.767,3.911
n01440764_2646.JPEG,0.601,0.35,1.884,0.505,1.137,0.688,10.707,4.033,2.056,1.188,0.292,0.952
n01440764_26515.JPEG,10.894,9.462,6.795,0.94,7.909,1.15,7.918,6.07,5.663,6.704,6.986,5.325
n01440764_26541.JPEG,7.18,6.645,5.702,0.87,11.302,0.427,11.08,10.257,9.792,5.775,4.753,5.867
n01440764_26569.JPEG,10.4,9.553,7.883,0.306,5.202,1.168,10.939,4.82,6.133,7.062,8.565,8.903
n01440764_26631.JPEG,5.316,3.51,4.931,0.411,7.938,0.339,11.335,4.803,7.881,3.113,1.15,5.479
n01440764_26659.JPEG,5.647,6.951,4.288,3.351,9.604,0.192,10.935,9.53,9.031,6.91,5.03,6.175
n01440764_26698.JPEG,6.589,8.108,4.946,0.168,11.229,0.203,10.973,5.667,8.08,7.208,7.096,6.94
n01440764_2675.JPEG,6.327,5.188,3.081,0.182,6.782,1.465,9.216,3.23,7.821,5.807,4.729,4.033
n01440764_26775.JPEG,3.187,2.16,1.555,0.295,7.665,0.337,9.872,5.927,6.303,1.553,1.965,1.01
n01440764_2679.JPEG,7.11,6.71,3.792,0.523,8.177,0.573,10.009,4.224,6.143,6.23,4.15,3.722
n01440764_2684.JPEG,2.164,1.757,1.281,0.172,11.287,0.128,11.08,6.292,7.812,1.948,2.863,1.779
n01440764_26892.JPEG,8.115,4.971,5.976,1.805,7.302,0.328,10.605,9.359,9.392,5.793,5.497,5.776
n01440764_2690.JPEG,7.264,6.997,4.543,0.701,7.222,0.237,10.987,7.083,7.357,5.838,6.014,4.041
n01440764_26948.JPEG,3.897,5.786,2.91,0.429,3.811,0.569,11.32,5.644,8.032,5.055,3.264,4.891
